experiment,image_name,query_idx,query_text,run_idx,elapsed_s,requests_in_call,avg_prompt_tokens,avg_output_tokens,total_output_tokens,throughput_output_tok_per_s,avg_first_token_latency_s,sample_text
baseline,guatemala-volcano_00000003_post_disaster.png,1,"Describe this image in detail. Include scene elements, objects, text, and spatial relationships.",1,1.2386999055743217,1,1072.0,128.0,128,103.33414850843388,,"This is a high-resolution satellite or aerial image capturing a dramatic landscape where a volcanic lava flow has recently interacted with a developed area, likely a golf course and residential property. The scene is divided into starkly co"
baseline,guatemala-volcano_00000003_post_disaster.png,2,List the top 10 visible objects and where they are located in the image.,1,1.2339555146172643,1,1071.0,128.0,128,103.73145424104023,,"Based on the satellite imagery, here are the top 10 visible objects and their approximate locations (using a coordinate system where (0,0) is the top-left corner and (100%,100%) is the bottom-right):

1. **House (Top Center)** - Located at "
baseline,guatemala-volcano_00000003_post_disaster.png,3,What potential hazards or risks can you infer from this image?,1,1.2311795745044947,1,1066.0,128.0,128,103.96533751099255,,"Based on this satellite imagery, I can infer several significant hazards and risks:

1. **Active or Recent Volcanic Eruption / Lava Flow**  
   The dark, textured, and irregularly shaped areas on the left side of the image strongly suggest "
baseline,guatemala-volcano_00000003_post_disaster.png,4,Summarize the scene in 3 concise bullet points.,1,0.8828079644590616,1,1066.0,86.0,86,97.41642969056842,,"- A dark, rugged lava flow has advanced across the landscape, visibly encroaching on green terrain and partially destroying vegetation and structures.
- Two buildings remain standing near the edge of the lava field, suggesting they are eith"
baseline,guatemala-volcano_00000003_post_disaster.png,1,"Describe this image in detail. Include scene elements, objects, text, and spatial relationships.",2,1.258023859001696,1,1072.0,128.0,128,101.7468779181774,,"This is a high-resolution satellite or aerial image capturing a dramatic landscape where a volcanic lava flow has recently interacted with a developed area, likely a golf course and residential property. The scene is divided into starkly co"
baseline,guatemala-volcano_00000003_post_disaster.png,2,List the top 10 visible objects and where they are located in the image.,2,1.232246559113264,1,1071.0,128.0,128,103.87531541748429,,"Based on the satellite imagery, here are the top 10 visible objects and their approximate locations (using a coordinate system where (0,0) is the top-left corner and (100%,100%) is the bottom-right):

1. **House (Top Center)** - Located at "
baseline,guatemala-volcano_00000003_post_disaster.png,3,What potential hazards or risks can you infer from this image?,2,1.2322580395266414,1,1066.0,128.0,128,103.87434765625049,,"Based on this satellite imagery, I can infer several significant hazards and risks:

1. **Active or Recent Volcanic Eruption / Lava Flow**  
   The dark, textured, and irregularly shaped areas on the left side of the image strongly suggest "
baseline,guatemala-volcano_00000003_post_disaster.png,4,Summarize the scene in 3 concise bullet points.,2,0.8825838565826416,1,1066.0,86.0,86,97.44116591140856,,"- A dark, rugged lava flow has advanced across the landscape, visibly encroaching on green terrain and partially destroying vegetation and structures.
- Two buildings remain standing near the edge of the lava field, suggesting they are eith"
baseline,guatemala-volcano_00000003_post_disaster.png,1,"Describe this image in detail. Include scene elements, objects, text, and spatial relationships.",3,1.2294773804023862,1,1072.0,128.0,128,104.10927605525193,,"This is a high-resolution satellite or aerial image capturing a dramatic landscape where a volcanic lava flow has recently interacted with a developed area, likely a golf course and residential property. The scene is divided into starkly co"
baseline,guatemala-volcano_00000003_post_disaster.png,2,List the top 10 visible objects and where they are located in the image.,3,1.2290714820846915,1,1071.0,128.0,128,104.14365792857922,,"Based on the satellite imagery, here are the top 10 visible objects and their approximate locations (using a coordinate system where (0,0) is the top-left corner and (100%,100%) is the bottom-right):

1. **House (Top Center)** - Located at "
baseline,guatemala-volcano_00000003_post_disaster.png,3,What potential hazards or risks can you infer from this image?,3,1.22871607914567,1,1066.0,128.0,128,104.17378121152186,,"Based on this satellite imagery, I can infer several significant hazards and risks:

1. **Active or Recent Volcanic Eruption / Lava Flow**  
   The dark, textured, and irregularly shaped areas on the left side of the image strongly suggest "
